word,regional
cheese pattie,"[0.04302663367975612, 0.9569733663202439]"
hamburger supper,"[0.05669634713763139, 0.9433036528623686]"
pizza crunch,"[0.06500484200373025, 0.9349951579962698]"
potato pie,"[0.06658411254621566, 0.9334158874537843]"
inferno,"[0.07750836744789169, 0.9224916325521083]"
pineapple ring,"[0.08145369004390668, 0.9185463099560933]"
naan,"[0.08670872839951937, 0.9132912716004806]"
macaroni cheese,"[0.09432914146692861, 0.9056708585330714]"
pudding supper,"[0.09525936198881202, 0.904740638011188]"
pizza supper,"[0.09820495677690055, 0.9017950432230994]"
diet bru,"[0.09986031241828819, 0.9001396875817118]"
chip shop takeaway order,"[0.11084386246459865, 0.8891561375354013]"
diet coke ltr,"[0.11520124734668147, 0.8847987526533185]"
suey roll,"[0.11605131791091994, 0.8839486820890801]"
pattie,"[0.12619217081624445, 0.8738078291837555]"
hamburger,"[0.1293061165498678, 0.8706938834501322]"
chicken meat,"[0.13293857088732897, 0.867061429112671]"
dandelion,"[0.13319255416754494, 0.8668074458324551]"
chip roll,"[0.13874956035593355, 0.8612504396440664]"
bit,"[0.14303300507885575, 0.8569669949211443]"
pollo,"[0.15360521749090306, 0.8463947825090969]"
king rib,"[0.1536955211457186, 0.8463044788542814]"
shot,"[0.1593261813458673, 0.8406738186541327]"
burdock,"[0.16458133161698252, 0.8354186683830175]"
pie supper,"[0.1776010926627819, 0.8223989073372181]"
funghi,"[0.19483683998675805, 0.805163160013242]"
cheese tomato,"[0.20707470207423562, 0.7929252979257644]"
beef onion pie,"[0.20907048034755127, 0.7909295196524487]"
pasty,"[0.22080400831990743, 0.7791959916800926]"
haggis,"[0.22384433767294343, 0.7761556623270566]"
cheeseburger half pounder,"[0.24157381600573946, 0.7584261839942605]"
cheeseburger quarter pounder,"[0.24157381600573946, 0.7584261839942605]"
chicken breast supper,"[0.2433056468951732, 0.7566943531048268]"
fish chips,"[0.2505011589087093, 0.7494988410912907]"
supper,"[0.2820484701165006, 0.7179515298834994]"
cookies,"[0.2926068844345514, 0.7073931155654486]"
bull,"[0.3199562641957926, 0.6800437358042074]"
chicken nuggets meal,"[0.32125571887427606, 0.6787442811257239]"
chicken pakora,"[0.32258630530369103, 0.677413694696309]"
nuggets,"[0.33817842687597777, 0.6618215731240222]"
pasties,"[0.3434913363840276, 0.6565086636159724]"
chips salad,"[0.3437544174739232, 0.6562455825260768]"
scallops,"[0.37133107972519297, 0.628668920274807]"
pop,"[0.37566114070951995, 0.62433885929048]"
site,"[0.3828808722957264, 0.6171191277042736]"
bru,"[0.3870878662375089, 0.6129121337624911]"
inch bread,"[0.3949447590422569, 0.6050552409577431]"
inch margherita,"[0.40518983399044395, 0.594810166009556]"
kebab wrap,"[0.4092167362183604, 0.5907832637816396]"
spaghetti,"[0.4148651966000986, 0.5851348033999014]"
vegetable pakora,"[0.4220166362053063, 0.5779833637946937]"
pie chips,"[0.42219252756608205, 0.577807472433918]"
tray,"[0.42520318676351454, 0.5747968132364855]"
sausage supper,"[0.43141384413907924, 0.5685861558609208]"
cod roe,"[0.4401889430287208, 0.5598110569712792]"
cod fish,"[0.4441861002797133, 0.5558138997202867]"
